Monocotyledons 单子叶植物纲
Dicotyledoneae 双子叶植物纲
Gramineae 禾本科
Fabaceae 豆科
Ericaceae 杜鹃花科
Cucurbitaceae 葫芦科
Vitaceae 葡萄科
Rosaceae 蔷薇科
Solanaceae 茄科
Rutaceae 芸香科
Apple 苹果
Blueberry 蓝莓
Cherry 樱桃
Corn 玉米
Grape 葡萄
Orange 柑橘
Peach 桃子
Pepper 辣椒
Potato 土豆
Raspberry 蔓越莓
Soybean 大豆
Squash 南瓜
Strawberry 草莓
Tomato 番茄
Apple___Apple_scab 疮痂病苹果
Apple___Black_rot 黑腐病苹果
Apple___Cedar_apple_rust 锈病苹果
Apple___healthy 健康苹果
Blueberry___healthy 健康蓝莓
Cherry___healthy 健康樱桃
Cherry___Powdery_mildew 白粉病樱桃
Corn___Cercospora_leaf_spot_Gray_leaf_spot 灰斑病玉米
Corn___Common_rust_ 锈病玉米
Corn___healthy 健康玉米
Corn___Northern_Leaf_Blight 枯叶病玉米
Grape___Black_rot 黑腐病葡萄
Grape___Esca 黑痘病葡萄
Grape___healthy 健康葡萄
Grape___Leaf_blight 叶枯病葡萄
Orange___Haunglongbing 黄龙病柑橘
Peach___Bacterial_spot 细菌性斑点病桃
Peach___healthy 健康桃
Pepper__bell___Bacterial_spot 辣椒细菌性斑点病
Pepper__bell___healthy 健康辣椒
Potato___Early_blight 早疫病土豆
Potato___healthy 健康土豆
Potato___Late_blight 晚疫病土豆
Raspberry___healthy 健康蔓越莓
Soybean___healthy 健康大豆
Squash___Powdery_mildew 白粉病南瓜
Strawberry___healthy 健康草莓
Strawberry___Leaf_scorch 叶焦病草莓
Tomato___Bacterial_spot 细菌性斑点病番茄
Tomato___Early_blight 早疫病番茄
Tomato___healthy 健康番茄
Tomato___Late_blight 晚疫病番茄
Tomato___Leaf_Mold 叶霉病番茄
Tomato___Septoria_leaf_spot 斑枯病番茄
Tomato___Spider_mites_Two_spotted_spider_mite 二斑叶螨病番茄
Tomato___Target_Spot 轮斑病番茄
Tomato___Tomato_mosaic_virus 烟草花叶病番茄
Tomato___Tomato_Yellow_Leaf_Curl_Virus 黄曲叶病番茄
